fen,depth,centipawn,mate,best_move,second_best_move,wall_time_s
r1bqkbnr/pp4pp/2n1pP2/2pp4/3P4/2P2N2/PP3PPP/RNBQKB1R b KQkq - 0 6,6,-2,NULL,g8f6,g7f6,0.011
rn1qk1nr/pbp1bppp/1p1pp3/8/3PP3/2N1BN2/PPP1BPPP/R2QK2R b KQkq - 3 6,6,+100,NULL,a7a6,b8d7,0.013
2kr1b1r/ppnnp1p1/2p3bp/8/2PP1q2/1PB2P1B/P2N4/R3K1NR b KQ - 1 22,6,-776,NULL,f4d6,f4g3,0.007
r1bq1rk1/pp1p1ppp/1b3n2/n1pP4/4P3/P2B1N2/1P3PPP/RNBQ1RK1 b - - 0 10,6,+136,NULL,c5c4,b6c7,0.006
r1b1kbnr/pp3ppp/2n1p3/2p1P3/3p1P2/3P1N2/PqPN1BPP/R2QKB1R b KQkq - 1 8,6,-115,NULL,c6b4,g8e7,0.013
8/pp4pp/b3N1k1/8/7P/2P5/PP2qK2/8 w - - 2 39,6,-786,NULL,f2g3,f2g1,0.003
r6k/1pp3p1/1b4p1/p2Qp3/P3P2q/5P1P/1PP2P1K/R4R2 w - - 0 26,6,+454,NULL,d5e5,d5e6,0.006
3n4/p2pk1p1/5pB1/1qpQp3/1r6/4PN2/2P1KPPP/3R4 w - - 6 26,6,+477,NULL,e2e1,d1d3,0.005
r2qkbnr/ppp1pppp/8/3p1b2/1n6/3PP3/PPP1NPPP/RNBQKB1R b KQkq - 0 5,6,-49,NULL,e7e5,g8f6,0.007
r1b2rk1/pp3pp1/2p1p2q/3n2Nn/2BP3P/2N3Q1/PPP5/1K3R1R w - - 11 22,6,+167,NULL,g3d6,g3e1,0.008
r1bqk1nr/pp2bppp/2n1p3/2p5/3pPP2/3P1B2/PPP1N1PP/RNBQ1RK1 b kq - 3 7,6,+34,NULL,g8h6,g8f6,0.012
2kr1r2/pp2R3/3q4/3P3p/8/2N2P2/PPP3PK/R2Q4 w - - 1 21,6,+108,NULL,h2g1,h2h1,0.005
r1b2rk1/1p3ppp/8/6q1/1PB2n2/1Q2B2P/P4PP1/3R1RK1 w - - 3 23,6,+319,NULL,c4f7,e3f4,0.008
4r1k1/7p/2p2qb1/p1p1ppR1/2Pp1P2/1P1P2Q1/P5P1/4R1K1 b - - 1 35,6,+240,NULL,e5e4,e5f4,0.012
rnb1k2r/ppppqppp/8/8/1b2nB2/2NP1N2/PPP3PP/R2QKB1R w KQkq - 0 7,6,+310,NULL,d3e4,d1e2,0.008
5k2/5pp1/K6p/8/4PN2/5P2/6PP/4n3 w - - 1 39,6,-1,NULL,f4e2,a6b6,0.007
r7/B1R1k1pp/3p1p1n/4p3/1P6/5P2/P4P1P/6K1 b - - 2 22,6,+214,NULL,e7d8,e7e6,0.006
rnb1kbnr/1p1p1q1p/2pB1p2/p1P3p1/3QP3/P1N2N2/1P3PPP/R3KB1R b KQkq - 0 10,6,+370,NULL,g5g4,f8d6,0.006
r2qk2r/1b1pbppp/2n1pn2/8/1p6/1N2PN2/PP1BBPPP/R2Q1RK1 w kq - 4 12,6,-44,NULL,d1c2,f3d4,0.012
r2qr1k1/1p3p1p/p1p2n2/5B2/5B2/8/P1P4P/1R3RK1 b - - 2 30,6,-619,NULL,g8h8,d8d4,0.006
8/2n4p/1p2P1p1/1r3n2/p2P2Pk/P4N1P/4NP2/2R3K1 b - - 1 35,6,+542,NULL,h4h3,NULL,0.002
r2qk2r/p4ppp/2p1bn2/b2p4/N7/4B1PP/PP2PPB1/R2Q1RK1 b kq - 6 13,6,+67,NULL,e8g8,d8c8,0.010
4r2r/pbk1q2p/1ppp1pp1/8/3PPbQ1/2N5/PPP2PPP/R4RK1 w - - 0 16,6,+144,NULL,g4f4,a2a4,0.010
8/8/8/4K3/8/4q3/4k3/8 w - - 12 83,6,-415,NULL,e5d6,e5f6,0.004
r4rk1/pp1bqppp/2n2n2/4p3/3p4/6N1/P1PN1PPP/R2Q1RK1 w - - 6 15,6,-591,NULL,a1b1,f2f4,0.006
rr4k1/5pp1/2nq1n1p/p3p2P/3pP2R/5B2/PpP1QPPB/1K1R4 w - - 2 24,6,-427,NULL,f3g4,e2c4,0.005
r2q1r2/pbpp1pkp/1pn1p1p1/8/3PP1n1/2PB1N2/PP3PPP/RNQ2RK1 w - - 0 11,6,+83,NULL,b1d2,f1e1,0.008
6k1/qp4p1/4Qp2/5B1p/4P3/5P1P/6PK/5b2 b - - 13 43,6,+212,NULL,g8f8,g8h8,0.007
8/8/4k3/6R1/7R/4P3/1P3PPP/6K1 b - - 14 49,6,+836,NULL,e6f6,e6f7,0.006
N1b3nr/p2k1ppp/1p1p4/1p6/5B2/2N5/PPP2PPP/R3K2R w KQ - 0 15,6,+736,NULL,e1c1,a8b6,0.005
r2q1rk1/4n1bp/ppn1Ppp1/8/8/2NBB3/PPP2PPP/R2Q1RK1 w - - 0 14,6,+362,NULL,d3e4,d3c4,0.008
8/8/4k1p1/1p2ppP1/1Pp1p2P/P1P5/4BK2/8 w - - 1 37,6,+296,NULL,e2d1,f2e3,0.007
8/6pp/p7/4Pk2/5P1P/P1r2K2/8/8 w - - 1 48,6,-640,NULL,f3e2,f3g2,0.004
2b2rk1/R1q1nppp/4p3/1p6/2pP4/B1P1P3/5PPP/4KBNR w K - 0 20,6,+635,NULL,a7c7,a3c5,0.005
1r2k1nr/1b2q1bp/pQn3p1/2pp4/8/2P5/PP1NBP1P/R1BK1R2 w k - 2 18,6,-299,NULL,f1e1,d2b3,0.014
r2qk1nr/ppp2p2/2nb3p/5p2/2pP2p1/P5P1/1P1NPPBP/R1BQ1RK1 w kq - 0 11,6,+276,NULL,d2c4,f1e1,0.007
3r2k1/1p3pp1/p2p3p/8/2q5/1R1R4/P1P4P/1K6 b - - 5 29,6,-641,NULL,b7b5,g8h8,0.005
r3rb1k/ppp2p2/3p4/n3pNQ1/4P3/2qP2PP/P2N2P1/R3R1K1 w - - 0 26,6,+566,NULL,d2f3,g5h5,0.006
8/1q3PK1/8/2kp4/8/5Q2/8/8 w - - 3 65,6,+468,NULL,f3c3,f3g4,0.006
r2qk2r/pp3pbp/2p2np1/1B1Ppb2/8/2P5/PP1P1PPP/nNBK1QNR w kq - 0 12,6,-522,NULL,d5c6,g2g4,0.006
